sample_index,condition,distortion_type,severity_level,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1
1676,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
526,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3278,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
4933,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4362,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
186,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5815,Salt & Pepper L4,salt_pepper,4,0.5,0.5,0.5,0.5
2589,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5330,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1008,Salt & Pepper L4,salt_pepper,4,0.8571428656578064,0.8571428656578064,1.0,0.8571428656578064
3531,Salt & Pepper L4,salt_pepper,4,0.5,0.5,0.0,0.5
4002,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
165,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.6666666865348816
1000,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,1.0
1247,Salt & Pepper L4,salt_pepper,4,1.0,0.5,0.800000011920929,1.0
4037,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.800000011920929,0.800000011920929,1.0
890,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
4523,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.0,0.800000011920929,0.800000011920929
2411,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4139,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3654,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2786,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5406,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.6666666865348816,0.800000011920929
22,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.6666666865348816,0.6666666865348816
1391,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
3259,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
2804,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
714,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5282,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
3027,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,1.0
5437,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.6666666865348816,0.5,1.0
1659,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5761,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.6666666865348816,0.800000011920929,0.800000011920929
3972,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4169,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
534,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
761,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,0.6666666865348816
2925,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2702,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
4,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3808,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5118,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1788,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5457,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
45,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,1.0
855,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3617,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.6666666865348816,1.0
3751,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.800000011920929,1.0,0.800000011920929
2196,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
99,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.800000011920929,1.0
3462,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2215,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,1.0
4167,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2847,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.6666666865348816
2084,Salt & Pepper L4,salt_pepper,4,0.800000011920929,0.6666666865348816,0.800000011920929,0.800000011920929
4237,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
43,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.6666666865348816
4460,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3140,Salt & Pepper L4,salt_pepper,4,0.5,0.0,0.5,0.800000011920929
4340,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3628,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2122,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3280,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5470,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.0,0.0,0.0
3283,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.6666666865348816,1.0
3647,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
944,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
2878,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.0,1.0
5549,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
4498,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4413,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.6666666865348816
5430,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.5,1.0
1777,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2474,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.4000000059604645,0.6666666865348816,0.8571428656578064
1441,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816
623,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
