target_class,canny_iou_vs_clean,grabcut_iou_gt
bird,0.34765996405732713,0.6241788593476676
boat,0.3655473972131249,0.482647799113263
bottle,0.30332731152183856,0.7735453060287405
bus,0.40858864184721333,0.7620014052873274
car,0.2967034126736308,0.46939939893053595
cat,0.31886267853770195,0.5238682081110777
chair,0.36368742356064804,0.7372752903636729
cow,0.3594208344527896,0.6182963132340458
dog,0.27697269375458095,0.661622341324214
horse,0.37112008926320805,0.5757233755705743
motorbike,0.38379865186691337,0.4727164984779147
person,0.3506610606977991,0.4510406390761733
pottedplant,0.4174123380221284,0.3213931352817665
sofa,0.34924966761636367,0.5002222439410138
train,0.3926298431979307,0.6975694932320173
tvmonitor,0.36650875825369167,0.8399116972280357
