condition,distortion_type,severity_level,severity_label,class,class_f1_score,support_images,predicted_positive
motion_blur_L1,motion_blur,1,L1,aeroplane,0.9302325581395349,21,22
motion_blur_L1,motion_blur,1,L1,bicycle,0.6428571428571429,14,14
motion_blur_L1,motion_blur,1,L1,bird,0.9361702127659575,24,23
motion_blur_L1,motion_blur,1,L1,boat,0.8108108108108109,18,19
motion_blur_L1,motion_blur,1,L1,bottle,0.6829268292682927,23,18
motion_blur_L1,motion_blur,1,L1,bus,0.9375,15,17
motion_blur_L1,motion_blur,1,L1,car,0.7865168539325843,46,43
motion_blur_L1,motion_blur,1,L1,cat,0.925,41,39
motion_blur_L1,motion_blur,1,L1,chair,0.6808510638297872,46,48
motion_blur_L1,motion_blur,1,L1,cow,0.72,10,15
motion_blur_L1,motion_blur,1,L1,diningtable,0.717948717948718,18,21
motion_blur_L1,motion_blur,1,L1,dog,0.9195402298850575,45,42
motion_blur_L1,motion_blur,1,L1,horse,0.9,20,20
motion_blur_L1,motion_blur,1,L1,motorbike,0.875,25,23
motion_blur_L1,motion_blur,1,L1,person,0.8402366863905325,157,181
motion_blur_L1,motion_blur,1,L1,pottedplant,0.5454545454545454,18,15
motion_blur_L1,motion_blur,1,L1,sheep,0.8888888888888888,10,8
motion_blur_L1,motion_blur,1,L1,sofa,0.6666666666666666,20,25
motion_blur_L1,motion_blur,1,L1,train,0.9361702127659575,25,22
motion_blur_L1,motion_blur,1,L1,tvmonitor,0.7428571428571429,16,19
motion_blur_L2,motion_blur,2,L2,aeroplane,0.9333333333333333,21,24
motion_blur_L2,motion_blur,2,L2,bicycle,0.5517241379310345,14,15
motion_blur_L2,motion_blur,2,L2,bird,0.92,24,26
motion_blur_L2,motion_blur,2,L2,boat,0.8333333333333334,18,18
motion_blur_L2,motion_blur,2,L2,bottle,0.6511627906976745,23,20
motion_blur_L2,motion_blur,2,L2,bus,0.9375,15,17
motion_blur_L2,motion_blur,2,L2,car,0.6966292134831461,46,43
motion_blur_L2,motion_blur,2,L2,cat,0.8831168831168831,41,36
motion_blur_L2,motion_blur,2,L2,chair,0.6966292134831461,46,43
motion_blur_L2,motion_blur,2,L2,cow,0.6363636363636364,10,12
motion_blur_L2,motion_blur,2,L2,diningtable,0.6666666666666666,18,18
motion_blur_L2,motion_blur,2,L2,dog,0.9302325581395349,45,41
motion_blur_L2,motion_blur,2,L2,horse,0.8,20,20
motion_blur_L2,motion_blur,2,L2,motorbike,0.875,25,23
motion_blur_L2,motion_blur,2,L2,person,0.8057142857142857,157,193
motion_blur_L2,motion_blur,2,L2,pottedplant,0.38461538461538464,18,8
motion_blur_L2,motion_blur,2,L2,sheep,0.8235294117647058,10,7
motion_blur_L2,motion_blur,2,L2,sofa,0.5789473684210527,20,18
motion_blur_L2,motion_blur,2,L2,train,0.8936170212765957,25,22
motion_blur_L2,motion_blur,2,L2,tvmonitor,0.7058823529411765,16,18
motion_blur_L3,motion_blur,3,L3,aeroplane,0.9047619047619048,21,21
