distortion_type,class,support_images,distorted_class_f1,restored_class_f1,absolute_improvement,distorted_predicted_positive,restored_predicted_positive
motion_blur,aeroplane,28,0.8727272727272727,0.8888888888888888,0.016161616161616155,27,26
motion_blur,bicycle,30,0.6451612903225806,0.6440677966101694,-0.0010934937124111865,32,29
motion_blur,bird,31,0.8484848484848485,0.8181818181818182,-0.030303030303030276,35,35
motion_blur,boat,13,0.6956521739130435,0.6086956521739131,-0.08695652173913038,10,10
motion_blur,bottle,19,0.4,0.3076923076923077,-0.09230769230769231,16,20
motion_blur,bus,14,0.8333333333333334,0.8333333333333334,0.0,10,10
motion_blur,car,54,0.6136363636363636,0.5977011494252874,-0.015935214211076243,34,33
motion_blur,cat,35,0.8405797101449275,0.8787878787878788,0.03820816864295129,34,31
motion_blur,chair,31,0.4897959183673469,0.47058823529411764,-0.019207683073229287,18,20
motion_blur,cow,11,0.47058823529411764,0.4444444444444444,-0.02614379084967322,6,7
motion_blur,diningtable,17,0.46153846153846156,0.5833333333333334,0.1217948717948718,9,7
motion_blur,dog,34,0.7096774193548387,0.7213114754098361,0.011634056054997344,28,27
motion_blur,horse,15,0.7586206896551724,0.7857142857142857,0.027093596059113323,14,13
motion_blur,motorbike,21,0.8292682926829268,0.7441860465116279,-0.08508224617129889,20,22
motion_blur,person,140,0.7727272727272727,0.7687861271676301,-0.003941145559642645,212,206
motion_blur,pottedplant,22,0.4827586206896552,0.4827586206896552,0.0,7,7
motion_blur,sheep,11,0.3076923076923077,0.5333333333333333,0.22564102564102562,2,4
motion_blur,sofa,22,0.16666666666666666,0.16666666666666666,0.0,2,2
motion_blur,train,26,0.8,0.8260869565217391,0.02608695652173909,19,20
motion_blur,tvmonitor,22,0.47058823529411764,0.5,0.02941176470588236,12,10
overexposure,aeroplane,28,0.9818181818181818,0.9818181818181818,0.0,27,27
overexposure,bicycle,30,0.8,0.8301886792452831,0.030188679245283012,25,23
overexposure,bird,31,0.9206349206349206,0.90625,-0.014384920634920584,32,33
overexposure,boat,13,0.7586206896551724,0.7407407407407407,-0.017879948914431676,16,14
overexposure,bottle,19,0.5789473684210527,0.6486486486486487,0.06970128022759603,19,18
overexposure,bus,14,0.9230769230769231,0.8888888888888888,-0.03418803418803429,12,13
overexposure,car,54,0.6813186813186813,0.651685393258427,-0.029633288060254337,37,35
overexposure,cat,35,0.9444444444444444,0.9577464788732394,0.013302034428794962,37,36
overexposure,chair,31,0.6111111111111112,0.676056338028169,0.06494522691705784,41,40
overexposure,cow,11,0.782608695652174,0.8181818181818182,0.035573122529644285,12,11
overexposure,diningtable,17,0.8333333333333334,0.8235294117647058,-0.009803921568627527,19,17
overexposure,dog,34,0.9538461538461539,0.9230769230769231,-0.03076923076923077,31,31
overexposure,horse,15,0.875,0.9655172413793104,0.09051724137931039,17,14
overexposure,motorbike,21,0.9302325581395349,0.9230769230769231,-0.007155635062611743,22,18
overexposure,person,140,0.864516129032258,0.8503401360544217,-0.014175992977836338,170,154
overexposure,pottedplant,22,0.5945945945945946,0.6666666666666666,0.072072072072072,15,14
overexposure,sheep,11,0.7368421052631579,0.7058823529411765,-0.030959752321981338,8,6
overexposure,sofa,22,0.75,0.7555555555555555,0.005555555555555536,26,23
overexposure,train,26,0.9629629629629629,0.9811320754716981,0.018169112508735208,28,27
overexposure,tvmonitor,22,0.717948717948718,0.7567567567567568,0.03880803880803885,17,15
salt_pepper,aeroplane,28,0.84,0.8771929824561403,0.03719298245614033,22,29
salt_pepper,bicycle,30,0.8214285714285714,0.8301886792452831,0.00876010781671166,26,23
salt_pepper,bird,31,0.8695652173913043,0.8285714285714286,-0.0409937888198757,38,39
salt_pepper,boat,13,0.5833333333333334,0.6666666666666666,0.08333333333333326,11,11
salt_pepper,bottle,19,0.4827586206896552,0.5454545454545454,0.06269592476489022,10,25
salt_pepper,bus,14,0.8333333333333334,0.8888888888888888,0.05555555555555547,10,13
salt_pepper,car,54,0.6046511627906976,0.6292134831460674,0.02456232035536976,32,35
salt_pepper,cat,35,0.8985507246376812,0.8985507246376812,0.0,34,34
salt_pepper,chair,31,0.5098039215686274,0.647887323943662,0.13808340237503458,20,40
salt_pepper,cow,11,0.7368421052631579,0.72,-0.01684210526315788,8,14
salt_pepper,diningtable,17,0.5833333333333334,0.7567567567567568,0.17342342342342343,7,20
salt_pepper,dog,34,0.7936507936507936,0.8709677419354839,0.07731694828469027,29,28
salt_pepper,horse,15,0.896551724137931,0.8571428571428571,-0.039408866995073955,14,13
salt_pepper,motorbike,21,0.7777777777777778,0.7894736842105263,0.011695906432748537,15,17
salt_pepper,person,140,0.8275862068965517,0.8590163934426229,0.031430186546071215,150,165
salt_pepper,pottedplant,22,0.42857142857142855,0.6111111111111112,0.1825396825396826,6,14
salt_pepper,sheep,11,0.47058823529411764,0.7058823529411765,0.23529411764705888,6,6
salt_pepper,sofa,22,0.16666666666666666,0.5882352941176471,0.42156862745098045,2,12
salt_pepper,train,26,0.8,0.9411764705882353,0.14117647058823524,24,25
salt_pepper,tvmonitor,22,0.5333333333333333,0.6666666666666666,0.1333333333333333,8,17
