target_class,distortion_type,sample_idx,distorted_snr,restored_snr,clean_canny_iou,clean_grabcut_iou,clean_dl_f1,distorted_canny_iou,distorted_grabcut_iou,distorted_dl_f1,restored_canny_iou,restored_grabcut_iou,restored_dl_f1
bird,motion_blur,125.66666666666667,19.23052469889323,20.594511032104492,1.0,0.8341250502564496,1.0,0.11575077368269641,0.6514029945253494,1.0,0.22191730290303238,0.8018469560626335,1.0
bird,overexposure,125.66666666666667,5.99441385269165,12.716050148010254,1.0,0.8341250502564496,1.0,0.664701431699905,0.8354080234175719,1.0,0.7294561867322239,0.7600956847609899,1.0
bird,salt_pepper,125.66666666666667,12.240057627360025,24.272505442301433,1.0,0.8341250502564496,1.0,0.11379036625964113,0.27326285651359983,0.6666666666666666,0.3786148750166616,0.7280562216070297,1.0
boat,motion_blur,33.0,21.452869415283203,22.78803253173828,1.0,0.636862346992562,1.0,0.2743095845903922,0.6339451828835568,0.0,0.33447540733972897,0.6333461169702781,0.0
boat,overexposure,33.0,8.131112098693848,10.192010879516602,1.0,0.636862346992562,1.0,0.44081821792665166,0.19801685249808496,1.0,0.47962170682278765,0.1806544875555183,0.0
boat,salt_pepper,33.0,12.02436637878418,23.68507194519043,1.0,0.636862346992562,1.0,0.17490502503885338,0.5956588707389242,0.0,0.33855601921108575,0.5640610233562846,0.6666666666666666
bottle,motion_blur,226.0,16.247108459472656,17.3475341796875,1.0,0.9660691954981242,1.0,0.0538951099653589,0.8499793473771169,1.0,0.09534772943791679,0.8706703214552703,0.6666666666666666
bottle,overexposure,226.0,2.8823065757751465,15.324413299560547,1.0,0.9660691954981242,1.0,0.5479737201587198,0.88020008336807,1.0,0.6018015335368123,0.9699041267194665,1.0
bottle,salt_pepper,226.0,10.107569694519043,21.515893936157227,1.0,0.9660691954981242,1.0,0.1377506389255759,0.8508531002913026,0.6666666666666666,0.32646048109965636,0.9634847853272197,1.0
bus,motion_blur,22.0,19.924358367919922,20.958168029785156,1.0,0.8777100890583451,0.6666666666666666,0.32881189736885114,0.9253615847824863,0.5,0.3944501868490101,0.9174947220267418,0.5
bus,overexposure,22.0,5.010985851287842,12.470849990844727,1.0,0.8777100890583451,0.6666666666666666,0.6455835744798126,0.5724343237676006,0.6666666666666666,0.7228221742260619,0.5760748402026217,0.6666666666666666
