model,condition,distortion_type,severity_level,severity_label,params,mean_snr,f1_samples,f1_micro,f1_macro,exact_match
clean_control_resnet50,clean,clean,0,Clean,{},inf,0.851077380952381,0.8344370860927153,0.8299142632752006,0.6325
distortion_aware_resnet50,clean,clean,0,Clean,{},inf,0.8565238095238095,0.8414133114215283,0.8408220316737063,0.635
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},24.021604087352753,0.8370654761904762,0.8214285714285714,0.8189392825832412,0.5975
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},24.021604087352753,0.8541369047619048,0.8382352941176471,0.8347925075177713,0.6275
clean_control_resnet50,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},19.591691662073135,0.8130119047619047,0.7983606557377049,0.788013027851332,0.565
distortion_aware_resnet50,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},19.591691662073135,0.8346250000000001,0.8218954248366013,0.8145359760523402,0.5825
clean_control_resnet50,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},18.020308228731157,0.7571904761904762,0.7586790855207451,0.7315398458318974,0.505
distortion_aware_resnet50,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},18.020308228731157,0.8318214285714285,0.8129554655870446,0.8005033730693075,0.575
clean_control_resnet50,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},17.030956716537474,0.701202380952381,0.7211367673179396,0.6671124861293374,0.4625
distortion_aware_resnet50,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},17.030956716537474,0.8194900793650792,0.7974481658692185,0.7885984298891319,0.5625
clean_control_resnet50,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},15.498188626766204,0.552625,0.6055396370582617,0.5165666364199415,0.3325
distortion_aware_resnet50,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},15.498188626766204,0.7395595238095238,0.7372611464968153,0.7225148533576851,0.4575
clean_control_resnet50,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},14.129061541557313,0.3441666666666666,0.42093287827076226,0.28431678631957524,0.205
distortion_aware_resnet50,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},14.129061541557313,0.6440535714285716,0.6672025723472669,0.6382346566241057,0.355
clean_control_resnet50,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",15.90650263786316,0.8481249999999999,0.8382838283828383,0.8335543330008924,0.6325
distortion_aware_resnet50,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",15.90650263786316,0.8479404761904762,0.8366013071895425,0.8329532458078142,0.6275
clean_control_resnet50,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",8.520158138871192,0.8384107142857143,0.8338870431893688,0.8270013445196961,0.6325
distortion_aware_resnet50,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",8.520158138871192,0.848404761904762,0.8356500408830744,0.8327010558655015,0.6275
clean_control_resnet50,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",4.196926695853472,0.8431071428571428,0.831814415907208,0.825921686296831,0.6225
distortion_aware_resnet50,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",4.196926695853472,0.8484345238095239,0.8367514356029533,0.8327319650207397,0.6325
clean_control_resnet50,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",1.8136414105427685,0.8063988095238095,0.799660441426146,0.785253619136254,0.575
distortion_aware_resnet50,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",1.8136414105427685,0.8210952380952381,0.8110749185667753,0.8029045896302595,0.585
clean_control_resnet50,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",0.1316232095770829,0.7517380952380952,0.7606382978723404,0.739436699055499,0.5425
distortion_aware_resnet50,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",0.1316232095770829,0.8118154761904762,0.8029801324503312,0.7971025326887748,0.5775
clean_control_resnet50,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",-0.9093894429088687,0.6073869047619047,0.6608187134502924,0.6193736771017265,0.41
distortion_aware_resnet50,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",-0.9093894429088687,0.7502083333333333,0.7520798668885191,0.7436405508726032,0.5025
clean_control_resnet50,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},21.40820765733719,0.8298928571428571,0.8171861836562764,0.8035068348320475,0.6175
distortion_aware_resnet50,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},21.40820765733719,0.8378928571428571,0.8258381030253475,0.8248368777100987,0.59
clean_control_resnet50,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},18.40486337661743,0.8128809523809524,0.8037865748709122,0.7865872330305556,0.5875
distortion_aware_resnet50,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},18.40486337661743,0.8213869047619048,0.8085456039441249,0.801531956402681,0.5725
clean_control_resnet50,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},13.676547238826751,0.7864702380952382,0.782608695652174,0.7659364614402937,0.5725
distortion_aware_resnet50,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},13.676547238826751,0.8164107142857142,0.8046550290939318,0.794415025939534,0.58
clean_control_resnet50,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},10.0974344111979,0.7201309523809524,0.7388888888888889,0.6856327080796121,0.525
distortion_aware_resnet50,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},10.0974344111979,0.8098154761904762,0.8023159636062862,0.7854004482038013,0.5675
clean_control_resnet50,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},6.9753650592267515,0.6305,0.6760280842527583,0.5994508855032058,0.4625
distortion_aware_resnet50,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},6.9753650592267515,0.7796785714285714,0.7768595041322314,0.7629620073663756,0.5425
clean_control_resnet50,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},4.316552363075316,0.4698333333333333,0.5524861878453039,0.43562785291807427,0.3075
distortion_aware_resnet50,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},4.316552363075316,0.7395119047619048,0.7521079258010118,0.7353753792168624,0.495
