class,clean_control_resnet50,distortion_aware_resnet50,class_f1_improvement
sofa,0.49783078371440226,0.7304399532169732,0.23260916950257093
diningtable,0.46672991581294604,0.6550903704841086,0.18836045467116252
bicycle,0.6654562634850331,0.7946980332945245,0.12924176980949142
chair,0.5158639378053486,0.6440259095808565,0.12816197177550792
sheep,0.5893415001436868,0.7097807131140464,0.12043921297035964
bottle,0.46602842363265623,0.5802191731769464,0.11419074954429015
pottedplant,0.5320888275352379,0.6406557416800872,0.10856691414484931
aeroplane,0.8348957905939544,0.935893432530066,0.1009976419361116
cow,0.6007273775000194,0.6983541245667149,0.0976267470666955
dog,0.7860174116482928,0.8646521516672068,0.07863474001891402
motorbike,0.8200463435586138,0.8921162825256227,0.07206993896700886
train,0.826283325337078,0.8966176083034321,0.07033428296635402
car,0.6423860742276368,0.7113110013233108,0.068924927095674
cat,0.8171864218944852,0.8747345281195806,0.05754810622509543
horse,0.8080213726815969,0.8654807547382505,0.057459382056653574
bus,0.8963772735369661,0.9517536333325807,0.055376359795614616
tvmonitor,0.6713295711740863,0.7189466144625335,0.04761704328844718
boat,0.8097137949504777,0.849142596106543,0.039428801156065285
person,0.817149269893364,0.840814464552245,0.02366519465888095
bird,0.8407167653741325,0.8627567257081343,0.022039960334001796
