model,condition,distortion_type,severity_level,severity_label,params,class,mean_snr,class_f1_score,support,predicted_positive
clean_control_resnet50,clean,clean,0,Clean,{},aeroplane,inf,0.9818181818181818,27,28
clean_control_resnet50,clean,clean,0,Clean,{},bicycle,inf,0.8571428571428571,20,15
clean_control_resnet50,clean,clean,0,Clean,{},bird,inf,0.926829268292683,21,20
clean_control_resnet50,clean,clean,0,Clean,{},boat,inf,0.9032258064516129,15,16
clean_control_resnet50,clean,clean,0,Clean,{},bottle,inf,0.6521739130434783,24,22
clean_control_resnet50,clean,clean,0,Clean,{},bus,inf,0.972972972972973,18,19
clean_control_resnet50,clean,clean,0,Clean,{},car,inf,0.7012987012987013,42,35
clean_control_resnet50,clean,clean,0,Clean,{},cat,inf,0.9473684210526315,28,29
clean_control_resnet50,clean,clean,0,Clean,{},chair,inf,0.675,37,43
clean_control_resnet50,clean,clean,0,Clean,{},cow,inf,0.75,16,16
clean_control_resnet50,clean,clean,0,Clean,{},diningtable,inf,0.6875,16,16
clean_control_resnet50,clean,clean,0,Clean,{},dog,inf,0.9213483146067416,47,42
clean_control_resnet50,clean,clean,0,Clean,{},horse,inf,0.9302325581395349,21,22
clean_control_resnet50,clean,clean,0,Clean,{},motorbike,inf,0.8571428571428571,21,21
clean_control_resnet50,clean,clean,0,Clean,{},person,inf,0.8634920634920635,161,154
clean_control_resnet50,clean,clean,0,Clean,{},pottedplant,inf,0.6818181818181818,21,23
clean_control_resnet50,clean,clean,0,Clean,{},sheep,inf,0.8148148148148148,14,13
clean_control_resnet50,clean,clean,0,Clean,{},sofa,inf,0.8275862068965517,26,32
clean_control_resnet50,clean,clean,0,Clean,{},train,inf,0.9285714285714286,14,14
clean_control_resnet50,clean,clean,0,Clean,{},tvmonitor,inf,0.717948717948718,21,18
distortion_aware_resnet50,clean,clean,0,Clean,{},aeroplane,inf,0.9642857142857143,27,29
distortion_aware_resnet50,clean,clean,0,Clean,{},bicycle,inf,0.8888888888888888,20,16
distortion_aware_resnet50,clean,clean,0,Clean,{},bird,inf,0.926829268292683,21,20
distortion_aware_resnet50,clean,clean,0,Clean,{},boat,inf,0.8387096774193549,15,16
distortion_aware_resnet50,clean,clean,0,Clean,{},bottle,inf,0.723404255319149,24,23
distortion_aware_resnet50,clean,clean,0,Clean,{},bus,inf,0.972972972972973,18,19
distortion_aware_resnet50,clean,clean,0,Clean,{},car,inf,0.75,42,38
distortion_aware_resnet50,clean,clean,0,Clean,{},cat,inf,0.9454545454545454,28,27
distortion_aware_resnet50,clean,clean,0,Clean,{},chair,inf,0.7435897435897436,37,41
distortion_aware_resnet50,clean,clean,0,Clean,{},cow,inf,0.7647058823529411,16,18
distortion_aware_resnet50,clean,clean,0,Clean,{},diningtable,inf,0.7058823529411765,16,18
distortion_aware_resnet50,clean,clean,0,Clean,{},dog,inf,0.9318181818181818,47,41
distortion_aware_resnet50,clean,clean,0,Clean,{},horse,inf,0.95,21,19
distortion_aware_resnet50,clean,clean,0,Clean,{},motorbike,inf,0.9090909090909091,21,23
distortion_aware_resnet50,clean,clean,0,Clean,{},person,inf,0.8526645768025078,161,158
distortion_aware_resnet50,clean,clean,0,Clean,{},pottedplant,inf,0.6666666666666666,21,21
distortion_aware_resnet50,clean,clean,0,Clean,{},sheep,inf,0.8571428571428571,14,14
distortion_aware_resnet50,clean,clean,0,Clean,{},sofa,inf,0.7457627118644068,26,33
distortion_aware_resnet50,clean,clean,0,Clean,{},train,inf,0.9285714285714286,14,14
distortion_aware_resnet50,clean,clean,0,Clean,{},tvmonitor,inf,0.75,21,19
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},aeroplane,24.021604087352753,0.9642857142857143,27,29
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bicycle,24.021604087352753,0.8333333333333334,20,16
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bird,24.021604087352753,0.9,21,19
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},boat,24.021604087352753,0.9032258064516129,15,16
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bottle,24.021604087352753,0.5957446808510638,24,23
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bus,24.021604087352753,0.9444444444444444,18,18
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},car,24.021604087352753,0.691358024691358,42,39
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},cat,24.021604087352753,0.9122807017543859,28,29
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},chair,24.021604087352753,0.6329113924050633,37,42
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},cow,24.021604087352753,0.8,16,14
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},diningtable,24.021604087352753,0.6666666666666666,16,17
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},dog,24.021604087352753,0.9195402298850575,47,40
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},horse,24.021604087352753,0.9333333333333333,21,24
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},motorbike,24.021604087352753,0.8780487804878049,21,20
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},person,24.021604087352753,0.8580060422960725,161,170
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},pottedplant,24.021604087352753,0.6666666666666666,21,24
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},sheep,24.021604087352753,0.8461538461538461,14,12
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},sofa,24.021604087352753,0.7931034482758621,26,32
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},train,24.021604087352753,0.9285714285714286,14,14
clean_control_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},tvmonitor,24.021604087352753,0.7111111111111111,21,24
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},aeroplane,24.021604087352753,0.9473684210526315,27,30
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bicycle,24.021604087352753,0.8108108108108109,20,17
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bird,24.021604087352753,0.926829268292683,21,20
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},boat,24.021604087352753,0.8387096774193549,15,16
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bottle,24.021604087352753,0.6530612244897959,24,25
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},bus,24.021604087352753,0.972972972972973,18,19
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},car,24.021604087352753,0.7407407407407407,42,39
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},cat,24.021604087352753,0.9285714285714286,28,28
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},chair,24.021604087352753,0.6842105263157895,37,39
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},cow,24.021604087352753,0.7647058823529411,16,18
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},diningtable,24.021604087352753,0.7647058823529411,16,18
distortion_aware_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},dog,24.021604087352753,0.9318181818181818,47,41
