model,condition,distortion_type,severity_level,severity_label,params,mean_snr,f1_samples,f1_micro,f1_macro,exact_match
clean_trained_resnet50,clean,clean,0,Clean,{},inf,0.8346130952380952,0.8157248157248157,0.8087208871239266,0.5875
fine_tuned_resnet50,clean,clean,0,Clean,{},inf,0.864595238095238,0.8448844884488449,0.8437330207033215,0.6575
clean_trained_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},24.021604087352753,0.8224285714285715,0.8105939004815409,0.8077218796021283,0.5625
fine_tuned_resnet50,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},24.021604087352753,0.8639285714285715,0.8448132780082988,0.8397179700695278,0.66
clean_trained_resnet50,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},19.591691662073135,0.7933511904761904,0.7850770478507705,0.7746419941611837,0.535
fine_tuned_resnet50,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},19.591691662073135,0.8476904761904762,0.8305647840531561,0.8241677857127779,0.63
clean_trained_resnet50,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},18.020308228731157,0.7552142857142857,0.7520938023450586,0.7285159708605854,0.5025
fine_tuned_resnet50,motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},18.020308228731157,0.8332738095238094,0.8162251655629139,0.8129468024889173,0.605
clean_trained_resnet50,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},17.030956716537474,0.6833452380952381,0.703125,0.6394338933045861,0.4225
fine_tuned_resnet50,motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},17.030956716537474,0.814577380952381,0.8019720624486442,0.7943854776226426,0.5725
clean_trained_resnet50,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},15.498188626766204,0.5374583333333334,0.587037037037037,0.47842674458042894,0.3075
fine_tuned_resnet50,motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},15.498188626766204,0.7569702380952381,0.7453815261044177,0.7345457040426254,0.4825
clean_trained_resnet50,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},14.129061541557313,0.38299999999999995,0.45114345114345117,0.27300244325645434,0.205
fine_tuned_resnet50,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},14.129061541557313,0.6617202380952381,0.6743421052631579,0.6554520836696748,0.395
clean_trained_resnet50,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",15.90650263786316,0.8303511904761904,0.8166259168704156,0.8102541413596395,0.5875
