model,condition,distortion_type,class,mean_snr,class_f1_score,support,predicted_positive
clean_trained_resnet50,clean,clean,aeroplane,inf,0.9666666666666667,31,29
clean_trained_resnet50,clean,clean,bicycle,inf,0.7878787878787878,18,15
clean_trained_resnet50,clean,clean,bird,inf,0.8387096774193549,16,15
clean_trained_resnet50,clean,clean,boat,inf,0.8,14,16
clean_trained_resnet50,clean,clean,bottle,inf,0.6037735849056604,28,25
clean_trained_resnet50,clean,clean,bus,inf,0.8235294117647058,9,8
clean_trained_resnet50,clean,clean,car,inf,0.6896551724137931,43,44
clean_trained_resnet50,clean,clean,cat,inf,0.9014084507042254,35,36
clean_trained_resnet50,clean,clean,chair,inf,0.6727272727272727,58,52
clean_trained_resnet50,clean,clean,cow,inf,0.6923076923076923,10,16
clean_trained_resnet50,clean,clean,diningtable,inf,0.68,25,25
clean_trained_resnet50,clean,clean,dog,inf,0.9230769230769231,53,51
clean_trained_resnet50,clean,clean,horse,inf,0.75,14,18
clean_trained_resnet50,clean,clean,motorbike,inf,0.7692307692307693,13,13
clean_trained_resnet50,clean,clean,person,inf,0.8618421052631579,153,151
clean_trained_resnet50,clean,clean,pottedplant,inf,0.5777777777777777,22,23
clean_trained_resnet50,clean,clean,sheep,inf,0.8571428571428571,8,6
clean_trained_resnet50,clean,clean,sofa,inf,0.5977011494252874,39,48
clean_trained_resnet50,clean,clean,train,inf,0.8571428571428571,14,14
clean_trained_resnet50,clean,clean,tvmonitor,inf,0.8108108108108109,20,17
fine_tuned_resnet50,clean,clean,aeroplane,inf,0.9354838709677419,31,31
fine_tuned_resnet50,clean,clean,bicycle,inf,0.8,18,17
fine_tuned_resnet50,clean,clean,bird,inf,0.8484848484848485,16,17
fine_tuned_resnet50,clean,clean,boat,inf,0.7741935483870968,14,17
fine_tuned_resnet50,clean,clean,bottle,inf,0.6785714285714286,28,28
fine_tuned_resnet50,clean,clean,bus,inf,0.8235294117647058,9,8
fine_tuned_resnet50,clean,clean,car,inf,0.7,43,37
fine_tuned_resnet50,clean,clean,cat,inf,0.9117647058823529,35,33
fine_tuned_resnet50,clean,clean,chair,inf,0.6470588235294118,58,44
fine_tuned_resnet50,clean,clean,cow,inf,0.6666666666666666,10,17
fine_tuned_resnet50,clean,clean,diningtable,inf,0.6274509803921569,25,26
fine_tuned_resnet50,clean,clean,dog,inf,0.864406779661017,53,65
fine_tuned_resnet50,clean,clean,horse,inf,0.7586206896551724,14,15
fine_tuned_resnet50,clean,clean,motorbike,inf,0.782608695652174,13,10
fine_tuned_resnet50,clean,clean,person,inf,0.8373702422145328,153,136
fine_tuned_resnet50,clean,clean,pottedplant,inf,0.6363636363636364,22,22
fine_tuned_resnet50,clean,clean,sheep,inf,0.7777777777777778,8,10
fine_tuned_resnet50,clean,clean,sofa,inf,0.5333333333333333,39,51
fine_tuned_resnet50,clean,clean,train,inf,0.9032258064516129,14,17
fine_tuned_resnet50,clean,clean,tvmonitor,inf,0.723404255319149,20,27
clean_trained_resnet50,salt_pepper_1,salt_pepper,aeroplane,21.46439849615097,0.9491525423728814,31,28
clean_trained_resnet50,salt_pepper_1,salt_pepper,bicycle,21.46439849615097,0.7647058823529411,18,16
clean_trained_resnet50,salt_pepper_1,salt_pepper,bird,21.46439849615097,0.7878787878787878,16,17
clean_trained_resnet50,salt_pepper_1,salt_pepper,boat,21.46439849615097,0.8571428571428571,14,14
clean_trained_resnet50,salt_pepper_1,salt_pepper,bottle,21.46439849615097,0.5614035087719298,28,29
clean_trained_resnet50,salt_pepper_1,salt_pepper,bus,21.46439849615097,0.8888888888888888,9,9
clean_trained_resnet50,salt_pepper_1,salt_pepper,car,21.46439849615097,0.6521739130434783,43,49
clean_trained_resnet50,salt_pepper_1,salt_pepper,cat,21.46439849615097,0.8985507246376812,35,34
clean_trained_resnet50,salt_pepper_1,salt_pepper,chair,21.46439849615097,0.6407766990291263,58,45
clean_trained_resnet50,salt_pepper_1,salt_pepper,cow,21.46439849615097,0.782608695652174,10,13
clean_trained_resnet50,salt_pepper_1,salt_pepper,diningtable,21.46439849615097,0.5777777777777777,25,20
clean_trained_resnet50,salt_pepper_1,salt_pepper,dog,21.46439849615097,0.9090909090909091,53,46
