condition,distortion_type,severity_level,severity_label,params,sample_idx,snr,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score,dl_jaccard_score
clean,clean,0,Clean,{},114.58,inf,1.0,0.6533149220718693,0.8420000000000001,0.7866666666666667
motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},114.58,24.04816333770752,0.5555054432717411,0.66575732073312,0.8546666666666667,0.8033333333333332
motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},114.58,19.78888687133789,0.24681917321766556,0.6301096441431685,0.7959999999999999,0.7366666666666667
motion_blur_L3,motion_blur,3,L3,{'kernel_size': 11},114.58,18.24050640106201,0.1736277815357103,0.5994357475446721,0.7133333333333333,0.66
motion_blur_L4,motion_blur,4,L4,{'kernel_size': 15},114.58,17.219496650695802,0.13617654353971415,0.5745401926522904,0.6766666666666667,0.6266666666666666
motion_blur_L5,motion_blur,5,L5,{'kernel_size': 25},114.58,15.67624334335327,0.09188738988123907,0.539642094263721,0.6066666666666667,0.5766666666666667
motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},114.58,14.260405445098877,0.060099032460438545,0.5171135649787941,0.38,0.35333333333333333
overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",114.58,16.08363594055176,0.8791046242533401,0.6575069666442288,0.8446666666666667,0.79
overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",114.58,8.812095413208008,0.7145145893720598,0.6199300021570133,0.836,0.78
overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",114.58,4.805952899456024,0.5162706620380696,0.5614605651630793,0.8133333333333332,0.7666666666666667
overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",114.58,2.563123047798872,0.368051630962815,0.5050118751157433,0.8226666666666667,0.7833333333333333
overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",114.58,0.9717054580152035,0.25158005456932026,0.41852436607459886,0.7126666666666667,0.66
overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",114.58,-0.021917505860328673,0.16190435802356754,0.30413410473263536,0.6426666666666666,0.6033333333333334
salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},114.58,21.96916061401367,0.7302823386548973,0.630546088757089,0.848,0.8083333333333332
salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},114.58,18.976291446685792,0.5858409388707837,0.5660725001286662,0.88,0.8473333333333334
salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},114.58,14.248295230865478,0.3412795654159484,0.5147155001364205,0.7726666666666666,0.7233333333333333
salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},114.58,10.662903022766113,0.20097184813725977,0.47463861993060247,0.75,0.71
salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},114.58,7.532493023872376,0.1304207624139227,0.4505155482229189,0.59,0.5566666666666666
salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},114.58,4.855204546451569,0.10137892255355883,0.29706171220955907,0.44666666666666666,0.42333333333333334
